owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Kerry Scherer,1,0,0.0,0,0,0,1,0.0,30.0,33.0,0,0.0
Kevin Banning,7,0,0.0,0,0,3,7,0.0,23.43,23.29,0,0.0
Kevin Buckler,34,1,0.02941,2,12,29,55,0.01818,21.04,19.65,18,0.33
Kevin Cywinski,64,0,0.0,0,2,19,64,0.0,25.69,23.88,1,0.02
Kevin Doran,19,0,0.0,0,0,7,21,0.0,21.33,24.48,0,0.0
Kevin Grubb,4,0,0.0,0,0,3,4,0.0,14.25,19.25,0,0.0
Kevin Harvick,217,43,0.19816,153,225,295,373,0.11528,9.28,10.89,7256,19.45
Kevin Jones,2,0,0.0,0,0,0,2,0.0,30.5,28.0,0,0.0
Kim Hansen,1,0,0.0,0,0,0,1,0.0,34.0,29.0,0,0.0
Kurt Roehrig,70,4,0.05714,19,38,60,93,0.04301,12.69,15.72,632,6.8
Kyle Busch,322,100,0.31056,297,479,659,822,0.12165,8.88,11.27,13980,17.01
Lance Hooper,15,0,0.0,0,0,0,15,0.0,23.67,30.27,4,0.27
Lane Moore,15,0,0.0,0,0,2,15,0.0,28.67,27.93,0,0.0
Larry Berg,2,0,0.0,0,0,0,2,0.0,21.0,28.0,0,0.0
Larry Carnes,20,0,0.0,0,0,4,20,0.0,29.95,25.7,0,0.0
Larry Norfleet,1,0,0.0,0,0,0,1,0.0,33.0,32.0,0,0.0
Larry Richardson,20,0,0.0,0,0,1,20,0.0,32.15,31.3,4,0.2
Latitude Aero,2,0,0.0,0,0,0,2,0.0,30.0,27.0,0,0.0
Linda Mountanos,24,0,0.0,1,3,15,25,0.0,16.28,18.36,0,0.0
Logan Puckett,8,0,0.0,0,0,1,8,0.0,32.38,25.25,0,0.0
Lonnie Troxell,74,0,0.0,0,0,9,75,0.0,29.01,28.8,0,0.0
Lou Gigliotti,2,0,0.0,0,0,1,2,0.0,27.5,23.0,0,0.0
Lou Goss,2,0,0.0,0,0,1,2,0.0,31.0,24.0,0,0.0
Malik Ibrahim,1,0,0.0,0,0,0,1,0.0,36.0,28.0,0,0.0
Margaret Lind,1,0,0.0,0,0,0,1,0.0,31.0,30.0,0,0.0
Mario Gosselin,54,0,0.0,0,2,20,73,0.0,24.66,25.95,5,0.07
Marion Collins,4,0,0.0,0,1,3,4,0.0,16.75,17.75,0,0.0
Marion Lawson,1,0,0.0,0,0,0,1,0.0,33.0,33.0,0,0.0
Mark Beaver,124,0,0.0,1,1,42,143,0.0,26.94,24.41,10,0.07
Mark Cram,28,0,0.0,0,1,4,28,0.0,30.25,26.11,2,0.07
Mark Rette,7,0,0.0,0,1,3,7,0.0,20.43,20.57,0,0.0
Mark Simo,102,3,0.02941,26,45,82,120,0.025,13.7,15.08,535,4.46
